brand,total,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
Move Up (Pty) Ltd:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Move Up (South African Immigration Services):,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Move Up (UK Immigration & Visas),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Move Up Immigration Solutions:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Move Up Immigration and Visa Services:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MoveUp:,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Multinet,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
My Immigration,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
My South Africa Visa,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
My Therapy Room:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mzansi Communications,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mzansi Study Abroad,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NFB Private Wealth Management,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NFB Wealth Management:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NMG Benefits:,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Debt Advisors,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nedbank Limited:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Neurodiversity Centre:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Newtons Immigration:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nexus Tax Solutions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OCTO,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Octagon Financial Services,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Octagon Legal,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Octagon Professional Services,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Octagon Tax Solutions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Old Mutual Limited:,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Omni HR Consulting,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
One World Volunteers,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OptiFin,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Outsourced CFO,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PMGY:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PSG Konsult,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PWC Business Recovery Services,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PWC South Africa Tax Services,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Passport & Visa Zone,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Passport Power,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Passport and Visa Specialists (PAVS):,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Paths Global Immigration,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Paths Immigration,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pathways to Freedom,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pathways to South Africa,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Paymaster,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pharma Solutions SA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Philip Gamble & Partners,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pro Tax Accounting,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pro-edge Solutions,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ProBono.Org,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Proactive Tax Solutions,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PsySSA (Psychological Society of South Africa),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PsychMatters Family Centre:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychometric Assessment,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Psychometric Testing,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Psytech SA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Psytech South Africa,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pty Company Registration,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PwC South Africa (Business Restructuring Services):,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Quest Staffing Solutions,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RIA (Relocation International Associates),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Randburg Immigration,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Regan van Rooy,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Regulated Migration,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Relocate Global:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Remata,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Remedia Tax and Business Services,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Remedia Tax and Business Solutions,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Remneris,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Remuneration Consultants,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Resolve Tax Debt,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Revix:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SA Emigration,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SA Immigration Services,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SA Study,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SA Tax Debt,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SA Tax Practice,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SA Tax Professionals,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SA Tax Solutions,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SA Tax Specialists:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SA Tender Assist:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SA Tenders:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SAB&T,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SAFCOIN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SARS Debt Solutions,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SARS Legal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SARS Tax Advisors,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SARS Tax Consultants,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SARS Tax Debt Solutions,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SARS Tax Help,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SARS Tax Practitioner,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SAvisa,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SAvisas.com,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SBS Forex,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SCA Consultants:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SERR Synergy,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SHL South Africa,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SIZA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SRI Immigration,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
STB Visas:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
STC,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
STC Visa,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
STC Visa Solutions,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SVA Forex,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SVA International:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SW Global,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sa Tax Debt Solutions,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sable Trust,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Saffery,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Saffery Champness,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Saffery Trust (South Africa) Pty Ltd,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Saffreys,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sage HR & Payroll,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sage Payroll,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sage South Africa,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sanlam Personal Finance:,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SarsFiling,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SarsTaxDebt.co.za,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SarsTaxFiling.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Scoinify,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sebata Group:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Shepstone & Wylie:,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SimpleTax,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sincere Immigration,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sivervest Migration,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Skills Development Agency,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Skills Dynamics:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sloane & Co. Immigration Attorneys,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Smit & Van Wyk Attorneys,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Smit & Van Wyk Immigration Attorneys:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
South African Immigration,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
South African Passport Renewal,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
South African Visa Experts,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Southern Star Immigration,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SovTech,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sovereign Group,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sovereign Trust (SA) Ltd,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sovereign Trust South Africa,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sovereign Wealth,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Specialised Applications,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Specialized Engineering Solutions,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Specialized Solar Systems,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Spoor & Fisher,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Standard Bank Wealth and Investment:,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Status Global,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Status Migration,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Status Solutions,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Status Update,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Stratasat,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Study Abroad Agency,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sure Travel,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Suren Forex,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SwiftReg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sygnia Asset Management:,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Synthesis Software Technologies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TFP Tax & Forensic Practitioners,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TFS Holdings,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TMT Crypto Solutions,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TSS (Training & Support Solutions),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Talent Africa,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tara Hospital:,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tax Advisory,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Attorney,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Consulting,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Consulting SA (Pty) Ltd:,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Advice,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tax Debt Busters,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Company,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Compliance (Pty) Ltd,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Compliance SA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Compromise,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Fix,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Gone,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Help SA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tax Debt Insure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Lawyers,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Management (Pty) Ltd:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt One,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Relief SA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Solutions South Africa,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tax Debt Solved,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Specialists SA:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Specialists:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Wizards,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Emigration,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Genius,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tax Guru South Africa,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Indaba,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Law Home,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Lawyers South Africa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Matrix,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tax Migration,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Migration South Africa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Relief Experts,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Resolve,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tax Samaritan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tax Shark,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Shop Accountants,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tax Shop Consulting,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Solutions,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Solutions SA:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Solutions South Africa,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tax-Rite,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TaxCare,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TaxCrypto,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TaxGuru,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TaxLawHouse,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TaxMatters,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TaxProAfrica,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TaxWorx,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Taxation Services,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Taxco Accountants:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Taxpert,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Taxwise Consulting,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TeleportVisa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tender Bulletins:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tender Capital:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TenderConnect:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tetra Immigration,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Assessment Toolbox,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Bridge Centre for Psychosocial Support:,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The British Immigration Advice Service,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Centre for Assessment,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Counselling Hub:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Document Warehouse,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Graduate Institute of Management and Technology (GIMT),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Mind Room,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Skills Portal,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The South African Depression and Anxiety Group (SADAG),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Tax Faculty,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Tender Factory:,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Think Ahead Education Solutions,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Travel Visa Consultants (TVC):,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Trust Immigration,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Turnaround 360,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Turnaround Strategies,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Turnkey Tax Solutions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TymeBank,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
UK Visa & Immigration,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
UK Visa Experts,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
VDMA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VFS Global (Service Partner),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VISA Pro,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Videsh Immigration:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Visa & Immigration Consulting,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Visa & Immigration Experts SA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Visa & Immigration Services,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visa & Permit Solutions,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Visa 4 SA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Visa Application SA:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Visa Assist,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Visa Box Immigration,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Visa Business Services,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Visa Connect,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Visa Connection,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Visa Experts,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Visa Facilitation Services (VFS Global),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visa Facilitation Services (VFS):,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Visa Genie:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Visa HQ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visa House,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Visa Plan Immigration,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Visa and Immigration,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Visa and Immigration Services (VISA),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visa and Immigration Solutions,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Visa and Migration,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VisaBox Africa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VisaConnect South Africa:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VisaHQ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VisaPlace,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VisaPro South Africa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VisaThru,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Visas Direct,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Visas Zone,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Visas4SouthAfrica,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Visaserve,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Volunteer Abroad,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Volunteer South Africa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volunteer Southern Africa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webber Wentzel Tax Practice,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Werksmans Attorneys (Business Rescue, Restructuring & Insolvency):",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Whipping The Cat,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Work Visa Bureau,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Work Visa Lawyers,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Work Visa Services,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
XPat,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xero Tax,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
XpatWeb Tax Services,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
iVisa,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
